Character,Word,Subword-BPE
7368,966,983
6081,780,801
4025,511,551
1225,192,225
5527,763,772
6087,780,803
6723,852,887
408,67,74
384,76,81
432,87,94
7880,983,999
1395,280,312
690,123,141
644,91,132
5436,800,819
6477,877,895
1032,203,221
1414,279,305
4514,573,597
576,106,114
5129,665,688
1525,266,297
8599,1265,1320
3904,514,533
4196,569,584
3827,495,536
3831,502,513
3985,534,547
4533,618,640
7440,1009,1064
8948,1206,1316
7682,1032,1101
1200,233,267
8279,1231,1300
1606,258,269
7095,991,1024
167,26,40
221,49,62
427,70,93
346,57,78
178,27,41
400,69,83
638,110,129
649,136,162
137,21,32
420,93,109
418,82,99
763,134,162
1171,189,201
545,103,117
1512,233,246
1192,195,206
1476,225,239
1853,300,317
4619,628,659
9446,1232,1310
8806,1109,1185
8267,1073,1147
7211,868,929
7883,958,1026
4110,737,814
1490,271,324
829,137,153
2961,442,460
8128,1014,1096
5307,734,745
934,185,202
8214,1082,1147
8024,1066,1130
527,108,117
4674,619,641
4655,632,640
4452,608,620
420,82,88
409,78,83
1537,248,258
548,96,115
290,54,60
270,46,52
1194,186,197
1014,166,180
1979,335,357
1622,265,271
1547,236,247
1185,176,182
545,96,112
1014,166,182
545,96,112
2208,351,369
23329,3162,3394
5446,736,772
6000,852,957
5226,684,714
5057,678,707
5584,801,838
5745,778,818
3852,520,538
4738,629,650
5381,694,733
4482,596,611
5159,737,801
4301,564,580
4971,671,697
5482,724,754
4380,585,601
4865,647,672
694,128,130
7985,1036,1061
7516,946,958
6927,1012,1052
6390,919,948
3081,484,513
2753,409,438
8566,904,963
6112,865,905
5456,707,743
5313,669,730
1931,307,330
6457,911,949
8557,974,996
7878,932,969
2652,358,382
7100,778,794
1913,275,297
5702,775,787
576,107,115
671,131,144
480,84,92
7533,884,931
2501,333,374
1623,256,268
4302,497,527
4256,501,506
5945,884,902
6276,884,900
11333,1904,1993
6755,942,963
1895,287,313
5808,711,739
8298,981,1006
8276,987,1005
6149,764,780
9511,909,936
1155,177,183
3675,547,614
2184,290,309
658,124,130
1172,177,190
5741,780,794
1173,177,188
1349,262,313
1431,296,354
9117,1089,1195
9656,1126,1232
6250,782,811
2558,363,369
6259,800,822
1911,274,289
1276,243,270
852,174,183
1278,256,273
5605,712,722
5796,725,737
5523,713,722
6113,756,774
6841,841,860
968,202,212
635,131,141
